h_pos,v_pos
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
2.33,-0.78
