h_pos,v_pos
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
