h_pos,v_pos
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.59,-1.56
1.58,-1.57
1.59,-1.56
1.6,-1.55
1.6,-1.53
1.61,-1.54
1.62,-1.52
1.65,-1.49
1.65,-1.48
1.68,-1.45
1.72,-1.42
1.76,-1.37
1.83,-1.29
1.89,-1.24
1.94,-1.19
2.0,-1.13
2.09,-1.05
2.18,-0.96
2.31,-0.82
2.43,-0.69
2.53,-0.59
2.6,-0.51
2.62,-0.48
2.62,-0.48
2.61,-0.49
2.58,-0.51
2.53,-0.56
2.48,-0.61
2.42,-0.68
2.37,-0.74
2.32,-0.78
2.3,-0.81
2.3,-0.81
2.3,-0.81
2.3,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
2.31,-0.8
