h_pos,v_pos
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.58,-1.59
1.57,-1.6
1.57,-1.6
1.57,-1.59
1.6,-1.56
1.59,-1.57
1.6,-1.56
1.62,-1.54
1.65,-1.5
1.66,-1.49
1.69,-1.47
1.74,-1.41
1.77,-1.39
1.82,-1.31
1.86,-1.28
1.92,-1.24
1.98,-1.17
2.06,-1.08
2.16,-0.98
2.25,-0.89
2.37,-0.76
2.49,-0.63
2.58,-0.54
2.63,-0.47
2.67,-0.42
2.69,-0.4
2.69,-0.4
2.68,-0.42
2.65,-0.45
2.62,-0.5
2.56,-0.56
2.49,-0.63
2.42,-0.71
2.35,-0.79
2.29,-0.84
2.27,-0.87
2.26,-0.87
2.27,-0.86
2.29,-0.85
2.3,-0.83
2.32,-0.8
2.34,-0.79
2.35,-0.77
2.36,-0.76
2.36,-0.76
2.36,-0.76
2.36,-0.76
2.36,-0.76
