h_pos,v_pos
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
1.57,-1.6
